artist,title,popularity,key
Alanis Morissette,You Oughta Know,2328,A Major
Roy Orbison,Oh Pretty Woman,2313,A Major
Wham!,Everything She Wants,2308,A Major
Krewella,Alive,2305,A Major
Paul Simon,Mrs. Robinson,2296,A Major
Incubus,Stellar,2295,A Major
Chicago,Beginnings,2284,A Major
Yellowcard,Ocean Avenue,2282,A Major
Nas,N.Y. State of Mind,2276,A Major
America,Tin Man,2260,A Major
Red Hot Chili Peppers,Stadium Arcadium,2259,A Major
Bruce Springsteen,I'm Goin' Down,2240,A Major
Seether,Fine Again,2239,A Major
Sia,Cheap Thrills,2208,A Major
Eminem,Without Me,2206,A Major
Muddy Waters,I’m Your Hoochie Coochie Man,2205,A Major
Carly Simon,Nobody Does It Better,2195,A Major
P!nk,So What,2193,A Major
A Lot Like Birds,A Satire of a Satire of a Satire Is Tiring,2189,A Major
The Rolling Stones,No Expectations,2188,A Major
ZZ Top,I Gotsta Get Paid,2176,A Major
The Smiths,How Soon Is Now,2171,A Major
Coldplay,Magic,2166,A Major
Steely Dan,Reeling in the Years,2153,A Major
Gloria Estefan,Turn the Beat Around,2146,A Major
Backstreet Boys,Don't Want You Back,2137,A Major
Three Days Grace,I Hate Everything About You,2132,A Major
The Beatles,Revolution 1,2130,A Major
Elevation Worship,Give Me Faith,2129,A Major
Corinne Bailey Rae,Put Your Records On,2127,A Major
Bing Crosby,White Christmas,2121,A Major
EXO,중독 (Overdose),2115,A Major
Christopher Cross,Sailing,2115,A Major
Bachman-Turner Overdrive,Let It Ride,2107,A Major
Badfinger,No Matter What,2101,A Major
Limp Bizkit,My Way,2099,A Major
The Beatles,I Need You,2093,A Major
The Allman Brothers Band,Jessica,2092,A Major
The White Stripes,Fell in Love With a Girl,2088,A Major
Civil Civic,Run Overdrive,2087,A Major
MGMT,Kids,2081,A Major
Joe Satriani,Summer Song,2075,A Major
Eagles,Please Come Home for Christmas,2073,A Major
Johnny Cash,Folsom Prision Blues,2071,A Major
Sister Sledge,We Are Family,2071,A Major
Donna Summer,MacArthur Park,2069,A Major
Bob Marley,Buffalo Soldier,2065,A Major
Laura Branigan,Gloria,2052,A Major
Keane,Somewhere Only We Know,2045,A Major
U2,Ordinary Love,2037,A Major
Frankie Avalon,Beauty School Dropout,2036,A Major
The Prodigy,You’ll Be Under My Wheels,2036,A Major
Brian Bennett,Image,2024,A Major
Matt Redman,Can a Nation Be Changed?,2023,A Major
"Ray, Goodman & Brown",Special Lady,2015,A Major
Lady Gaga,Do What U Want,2009,A Major
Sarah McLachlan,I Will Remember You,2004,A Major
John Mayer,Call Me the Breeze,2003,A Major
A Perfect Circle,A Stranger,1997,A Major
Bryan Adams,Please Forgive Me,1993,A Major
Fleetwood Mac,Say You Love Me,1991,A Major
Jimi Hendrix,Long Hot Summer Night,1988,A Major
Bethel Live,You Are Good,1981,A Major
One Direction,Happily,1977,A Major
Michael Jackson,The Girl Is Mine,1971,A Major
Hall & Oates,Say It Isn't So,1965,A Major
Timmy T,One More Try,1961,A Major
Zebrahead,Falling Apart,1958,A Major
Alabama,Mountain Music,1957,A Major
The Beatles,Lady Madonna,1953,A Major
Bob Dylan,I Shall Be Released,1951,A Major
Matchbox Twenty,If You're Gone,1949,A Major
U2,Mothers of the Disappeared,1947,A Major
Barenaked Ladies,One Week,1946,A Major
Bee Gees,Staying Alive,1944,A Major
Prince,Raspberry Beret,1941,A Major
Chicago,Lowdown,1932,A Major
50 Cent,Candy Shop,1931,A Major
Foo Fighters,Walk,1930,A Major
Israel Houghton,Moving Forward,1930,A Major
Jimi Hendrix,Third Stone From the Sun,1929,A Major
Bob Wills,San Antonio Rose,1929,A Major
Coldplay,Life in Technicolor II,1917,A Major
Westlife,My Love,1915,A Major
The Smashing Pumpkins,Here Is No Why,1915,A Major
Backstreet Boys,Helpless When She Smiles,1913,A Major
Mariah Carey,Butterfly,1910,A Major
Jack Wagner,All I Need,1904,A Major
Michael Jackson,The Lady in My Life,1899,A Major
Yo‐Yo Ma,1B,1895,A Major
Yves Larock,Rise Up,1893,A Major
REO Speedwagon,Can't Fight This Feeling,1891,A Major
Foo Fighters,These Days,1891,A Major
Robbie Dupree,Steal Away,1886,A Major
John Mayer,83,1886,A Major
Bruno Mars,Young Girls,1881,A Major
Frank Sinatra,All the Way,1881,A Major
Hoobastank,Crawling in the Dark,1877,A Major
Oasis,Mucky Fingers,1876,A Major
Metallica,Trapped Under Ice,1869,A Major
Silver Convention,Get Up and Boogie,1866,A Major
Faces,Stay With Me,1864,A Major
The Romantics,What I Like About You,1863,A Major
Gin Blossoms,Hey Jealousy,1862,A Major
The Tornados,Telstar,1856,A Major
The Rolling Stones,Under My Thumb,1852,A Major
John Frusciante,Look On,1851,A Major
Jim Reeves,I Love You Because,1850,A Major
The Moody Blues,Steppin’ in a Slide Zone,1849,A Major
Anna Nalick,Breathe (2AM),1848,A Major
Anita Baker,Giving You the Best That I've Got,1845,A Major
Jace Everett,Bad Things,1845,A Major
Panic! at the Disco,Behind the Sea (alternate version),1840,A Major
Sabaton,40:1,1838,A Major
10 Years,Wasteland,1836,A Major
The Verve,Bitter Sweet Symphony,1834,A Major
The Who,Won't Get Fooled Again,1826,A Major
"Earth, Wind & Fire",I'll Write a Song for You,1822,A Major
Jackson Browne,Running on Empty,1820,A Major
Brian Crain,Dream of Flying,1814,A Major
The Three Degrees,When Will I See You Again,1810,A Major
We Are Augustines,Chapel Song,1807,A Major
Aerosmith,Cryin',1806,A Major
Mariah Carey,Fourth of July,1806,A Major
R.E.M.,Radio Free Europe,1805,A Major
Little River Band,Lady,1805,A Major
Hardwell,Arcadia,1797,A Major
John Mayer,Back To You,1795,A Major
Eagles,In The City,1783,A Major
Neil Young,Out on the Weekend,1782,A Major
Roberta Flack,The Closer I Get to You,1782,A Major
Van Halen,Where Have All the Good Times Gone!,1776,A Major
Andrea True Connection,"More, More, More",1775,A Major
Halestorm,Apocalyptic,1773,A Major
Megadeth,À tout le monde,1771,A Major
Elton John,I Want Love,1769,A Major
Chicago,Call on Me,1768,A Major
Godspeed You! Black Emperor,The Dead Flag Blues,1767,A Major
Nirvana,Sliver,1766,A Major
Coldplay,What If?,1761,A Major
AC-DC,Rock N Roll Train,1756,A Major
The Stone Roses,She Bangs the Drums,1755,A Major
Big Time Rush,Big Night,1747,A Major
Kenny G,I Will Always Love You,1747,A Major
Jefferson Airplane,White Rabbit,1744,A Major
Led Zeppelin,The Ocean,1744,A Major
Alicia Keys,Girl on Fire,1739,A Major
ABBA,Chiquitita,1733,A Major
Peaches & Herb,Shake Your Groove Thing,1733,A Major
Aerosmith,Crazy,1728,A Major
John Kander,Chicago: All That Jazz,1727,A Major
Lady Gaga,Boys Boys Boys,1727,A Major
Yeah Yeah Yeahs,Gold Lion,1724,A Major
My Chemical Romance,Cemetery Drive,1720,A Major
Jack White,Lazaretto,1712,A Major
Aretha Franklin,Say a Little Prayer,1711,A Major
Electric Light Orchestra,Telephone Line,1708,A Major
Billy Idol,Eyes Without A Face,1704,A Major
U2,Bad,1702,A Major
Parachute,Kiss Me Slowly,1702,A Major
Demi Lovato,Neon Lights,1700,A Major
Rage Against the Machine,Guerilla Radio,1698,A Major
Drake,She Just Wanna Dance,1698,A Major
Bob Dylan,Subterranean Homesick Blues,1698,A Major
Bright Eyes,Poison Oak,1695,A Major
Bee Gees,To Love Somebody,1690,A Major
CSS,Ódio ódio ódio Sorry C.,1690,A Major
Future,Turn On The Lights,1689,A Major
R.E.M.,Pop Song '89,1687,A Major
Maren Morris,My Church,1686,A Major
Collective Soul,Better Now,1686,A Major
4 Non Blondes,What’s Up?,1683,A Major
Muddy Waters,Mannish Boy,1671,A Major
Chris Tomlin,Kindness,1670,A Major
Sia,Elastic Heart,1665,A Major
Vicki Yohe,Because of Who You Are,1664,A Major
Britney Spears,Circus,1662,A Major
deadmau5,The Veldt,1662,A Major
P.O.D.,Beautiful,1659,A Major
Randy Newman,Short People,1657,A Major
Mariah Carey,Babydoll,1657,A Major
The Beatles,Wait,1655,A Major
50 Cent,In da Club,1653,A Major
Chicago,Another Rainy Day in New York City,1645,A Major
Karla Bonoff,The First Noël,1640,A Major
John Mayer,Love Song For No One,1639,A Major
The Beatles,You Won't See Me,1638,A Major
Enya,May It Be,1638,A Major
Enya,May It Be,1638,A Major
Krewella,Alive (Hardwell remix),1629,A Major
Rihanna,S.O.S.,1626,A Major
Oasis,D’You Know What I Mean?,1624,A Major
Kings of Leon,Molly's Chambers,1620,A Major
Flyleaf,All Around Me,1615,A Major
John Mellencamp,Hurts So Good,1613,A Major
Kenny Loggins,Rainbow Connection,1612,A Major
DJ Snake,Middle,1611,A Major
Rascal Flatts,Here,1604,A Major
Paul Anka,Papa,1602,A Major
Led Zeppelin,Living Loving Maid (She’s Just a Woman),1596,A Major
Brad Paisley,American Saturday Night,1595,A Major
John Mellencamp,Jack and Diane,1594,A Major
Dan Hartman,I Can Dream About You,1588,A Major
Bob Dylan,Simple Twist of Fate,1587,A Major
The Ray Conniff Singers,Ring Christmas Bells,1586,A Major
The Cars,Bye Bye Love,1585,A Major
One Direction,18,1585,A Major
Charlie Puth,We Don't Talk Anymore,1583,A Major
Nirvana,Lake of Fire (acoustic),1583,A Major
Mariah Carey,Joy to the World,1575,A Major
Steve Miller Band,Mercury Blues,1567,A Major
Arctic Monkeys,I Bet You Look Good on the Dancefloor,1563,A Major
Kidz Bop,I Want It That Way,1562,A Major
Dwight Yoakam,"Guitars, Cadillacs",1561,A Major
Kelly Clarkson,Behind These Hazel Eyes,1561,A Major
O.T. Genasis,Cut It,1559,A Major
Rihanna,Pour It Up,1552,A Major
Travis,Sing,1546,A Major
Glee Cast,Dancing Queen,1545,A Major
Gladys Knight & The Pips,You're the Best Thing That Ever Happened to Me,1545,A Major
Jack Ingram,Lips Of An Angel,1544,A Major
Jimmy Eat World,Bleed American,1540,A Major
Leonard Cohen,"So Long, Marianne",1539,A Major
Muddy Waters,Trouble No More,1536,A Major
Nik Kershaw,The Riddle,1528,A Major
KISS,C'mon and Love Me,1528,A Major
Mariah Carey,If It's Over,1526,A Major
Britney Spears,Gimme More (instrumental),1521,A Major
Aaliyah,I Don't Wanna Come Back in One Piece,1519,A Major
Rihanna,What's My Name,1513,A Major
Rednex,Cotton Eyed Joe,1512,A Major
Buddy Holly,Maybe Baby,1511,A Major
Mariah Carey,I Don't Wanna Cry,1508,A Major
Arctic Monkeys,Riot Van,1506,A Major
Green Day,Church on Sunday,1505,A Major
George Benson,Lady Love Me (One More Time),1503,A Major
Jimmy Eat World,Goodbye Sky Harbor,1501,A Major
Neon Trees,Sins of My Youth,1499,A Major
Rise Against,Give It All,1499,A Major
Naughty Boy,La La La,1495,A Major
AC-DC,Rock and Roll Ain't Noise Pollution,1494,A Major
Atlantic Starr,Secret Lovers,1493,A Major
Tycho,Dive,1492,A Major
Lana Del Rey,West Coast,1488,A Major
Netsky,Starlight,1488,A Major
Carrie Underwood,"Jesus, Take the Wheel",1486,A Major
Wes Montgomery,Mi Cosa,1485,A Major
Primus,Jerry Was a Race Car Driver,1480,A Major
Little River Band,Cool Change,1476,A Major
Marilyn Manson,Personal Jesus,1475,A Major
John Mayer,Good Love Is on the Way,1474,A Major
ABBA,The Name of the Game,1472,A Major
Chris Tomlin,"Lord, I Need You",1470,A Major
Eagles,Visions,1470,A Major
Savage Garden,I Knew I Loved You,1469,A Major
Angels & Airwaves,Young London,1465,A Major
Seal,Don't Cry,1465,A Major
Phil Collins,Separate Lives,1464,A Major
R.E.M.,Alligator_Aviator_Autopilot_Antimatter,1463,A Major
Muse,Apocalypse Please,1462,A Major
Yes,Yours Is No Disgrace,1460,A Major
Rihanna,Don't Stop the Music,1457,A Major
The Youngbloods,Get Together,1455,A Major
The Beatles,Rock and Roll Music,1454,A Major
Colbie Caillat,Brighter Than The Sun,1454,A Major
Elvis Presley,Silver Bells,1453,A Major
Kelly Clarkson,Catch My Breath,1450,A Major
The Jets,Make It Real,1450,A Major
Casting Crowns,Courageous,1449,A Major
Arijit Singh,Mast Magan,1448,A Major
Boston,Don't Look Back,1447,A Major
The Beatles,Back in the U.S.S.R.,1447,A Major
The Corrs,What Can I Do,1445,A Major
John Mayer,Speak for Me,1445,A Major
Aerosmith,Jaded,1444,A Major
Foo Fighters,Congregation,1441,A Major
Green Day,Stop When the Red Lights Flash,1441,A Major
Paul Gilbert,Fuzz Universe,1440,A Major
Missy Elliott,Lose Control,1439,A Major
AC-DC,Cover You in Oil,1438,A Major
Jim Croce,You Don't Mess Around With Jim,1436,A Major
System of a Down,Radio-Video,1435,A Major
Slipknot,Spit It Out,1433,A Major
Nick Jonas,Close,1433,A Major
Elevation Worship,Only King Forever,1433,A Major
Dean Martin,That’s Amore,1428,A Major
Anita Baker,You Bring Me Joy,1427,A Major
JoJo,Too Little Too Late,1426,A Major
The Beatles,Good Day Sunshine,1424,A Major
Stray Cats,Double Talkin’ Baby,1423,A Major
Kelly Clarkson,My Life Would Suck Without You,1419,A Major
Rush,Red Barchetta,1418,A Major
Korn,Word Up!,1416,A Major
Eric Clapton,Since You Said Goodbye,1414,A Major
The Strokes,12:51,1412,A Major
Circa Survive,Act Appalled,1409,A Major
Counting Crows,Omaha,1404,A Major
Three Days Grace,Painkiller,1404,A Major
The Clash,Train In Vain,1402,A Major
The Spinners,Cupid (I've Loved You For A Long Time),1402,A Major
Jefferson Airplane,Somebody to Love,1399,A Major
Mr. C The Slide Man,Cha Cha Slide,1398,A Major
Elvis Presley,Johnny B. Goode,1396,A Major
Led Zeppelin,Heartbreaker,1395,A Major
Django Reinhardt,Django's Tiger,1394,A Major
Owl City,Beautiful Times,1390,A Major
Mark Hoppus,In Transit,1390,A Major
Kaiser Chiefs,Time Honoured Tradition,1389,A Major
Shalamar,A Night to Remember,1389,A Major
Vicki Sue Robinson,Turn the Beat Around,1387,A Major
Ashanti,Thank You,1382,A Major
Sia,Alive,1379,A Major
Matt Nathanson,Come on Get Higher,1379,A Major
Nickelback,If Everyone Cared,1378,A Major
Andy Gibb,An Everlasting Love,1378,A Major
Stone Temple Pilots,Sex Type Thing,1374,A Major
Jackson Browne,Boulevard,1374,A Major
Jeff Buckley,Vancouver,1374,A Major
All Time Low,Therapy,1374,A Major
Stone Temple Pilots,Wicked Garden,1371,A Major
New Riders of the Purple Sage,Lonesome L.A. Cowboy,1367,A Major
Kaiser Chiefs,Saturday Night,1366,A Major
The Beatles,If I Needed Someone,1365,A Major
10 Years,Shoot It Out,1364,A Major
Hootie & the Blowfish,I’ll Come Runnin’,1362,A Major
Brand New,Millstone,1360,A Major
Deniece Williams,Let's Hear It for the Boy,1360,A Major
*NSYNC,I Drive Myself Crazy,1359,A Major
Mariah Carey,Didn't Mean to Turn You On,1358,A Major
Five Finger Death Punch,Jekyll and Hyde,1355,A Major
Fleetwood Mac,Second Hand News,1354,A Major
Eagles,Best of My Love,1348,A Major
Ozzy Osbourne,Crazy Train (live at Budokan),1346,A Major
Kelly Clarkson,Already Gone,1346,A Major
Golden Earring,Radar Love,1342,A Major
Terror Squad,Lean Back,1342,A Major
Chicago,Look Away,1342,A Major
Hillsong Live,Mighty to Save,1341,A Major
Evanescence,Sweet Sacrifice,1337,A Major
Evanescence,Anywhere,1333,A Major
Wiener Philharmoniker,"Symphony №4 in A major, op. 90 “Italian”: I. Allegro vivace",1332,A Major
Lorde,Royals (Epic Empire Remix),1332,A Major
The Offspring,All I Want,1331,A Major
Carole King,(You Make Me Feel Like) A Natural Woman,1330,A Major
Alan Menken,Be Our Guest (Beauty and the Beast),1330,A Major
Lionel Richie,Angel,1329,A Major
Lisa Stansfield,All Around the World,1328,A Major
Andy Gibb,I Just Want to Be Your Everything,1328,A Major
Pearl Jam,Jeremy,1328,A Major
The Beatles,Baby's in Black,1328,A Major
The Beatles,Every Little Thing,1327,A Major
Three Days Grace,Lost in You,1325,A Major
The Countdown Singers,I Will Survive,1323,A Major
Five,Invincible,1323,A Major
The Beatles,A Taste of Honey,1319,A Major
Rascal Flatts,Mayberry,1318,A Major
Wiener Philharmoniker,"Symphony №4 in A major, op. 90 “Italian”: III. Con moto moderato",1318,A Major
Antony Santos,Dejame entrar,1317,A Major
Taylor Swift,You Are In Love,1316,A Major
The Beatles,I Want to Tell You,1315,A Major
Wiener Philharmoniker,"Symphony №4 in A major, op. 90 “Italian”: II. Andante con moto",1314,A Major
50 Cent,In da Club (instrumental),1314,A Major
Maroon 5,In Your Pocket,1313,A Major
Frank Sinatra,All the Way Home,1311,A Major
Simon & Garfunkel,Mrs. Robinson,1310,A Major
Rory Gallagher,Toredown,1308,A Major
Depeche Mode,Personal Jesus,1305,A Major
The Kooks,Always Where I Need to Be,1303,A Major
Diana Krall,S'Wonderful,1302,A Major
Limp Bizkit,Nookie,1302,A Major
Wavves,So Bored,1302,A Major
Jimi Hendrix,Can You See Me,1301,A Major
Lady Gaga,MANiCURE,1300,A Major
Mariah Carey,I Am Free,1299,A Major
Danielle Bradbery,Maybe It Was Memphis,1295,A Major
Counting Crows,High Life,1294,A Major
Muse,Liquid State,1292,A Major
Stone Temple Pilots,Crackerman,1289,A Major
Air Supply,Every Woman in the World,1286,A Major
Linkin Park,Hands Held High,1285,A Major
The Cars,Magic,1281,A Major
Adam Ant,Goody Two Shoes,1279,A Major
Sammy Hagar,There's Only One Way to Rock,1272,A Major
The Beatles,I'll Be Back,1269,A Major
Rachelle Ferrell,Peace on Earth,1267,A Major
Green Day,Lazy Bones,1265,A Major
Blake Shelton,Boys 'Round Here,1265,A Major
The Pointer Sisters,Jump (For My Love),1264,A Major
Mother Mother,Infinitesimal,1263,A Major
Jason Derulo,Talk Dirty,1263,A Major
Wiener Philharmoniker,"Symphony №4 in A major, op. 90 “Italian”: IV. Saltarello. Presto",1263,A Major
Seal,Love's Divine,1263,A Major
Eva Cassidy,Fields of Gold,1262,A Major
Casting Crowns,East To West,1261,A Major
Airbourne,"Too Much, Too Young, Too Fast",1261,A Major
Meredith Brooks,Bitch,1256,A Major
Backstreet Boys,The Perfect Fan,1255,A Major
The Beatles,Good Morning Good Morning,1252,A Major
Papa Roach,Never Enough,1251,A Major
Kutless,Take Me In,1249,A Major
Christopher Cross,Never Be the Same,1248,A Major
Barry Manilow,New York City Rhythm,1244,A Major
Hillsong United,Light Will Shine,1241,A Major
Backstreet Boys,Quit Playing Games (With My Heart),1240,A Major
Joy Williams,I'm in Love With You,1237,A Major
Edenbridge,Higher,1237,A Major
The Four Seasons,Who Loves You,1237,A Major
Disturbed,The Vengeful One,1233,A Major
Big Time Rush,We Are,1232,A Major
Soda Stereo,En camino,1232,A Major
Johann Sebastian Bach,"Concerto in D minor, BWV 974 after Alessandro Marcello: II. Adagio",1231,A Major
Rachel Platten,Stand by You,1231,A Major
Dierks Bentley,5-1-5-0,1231,A Major
Backstreet Boys,That's What She Said,1230,A Major
Phil Wickham,Cannons,1229,A Major
Pierce the Veil,Bulls in the Bronx,1228,A Major
Toby Keith,Red Solo Cup,1228,A Major
LunchMoney Lewis,Mama,1228,A Major
Megadeth,Head Crusher,1227,A Major
System of a Down,Cigaro,1227,A Major
The Countdown Singers,I Will Always Love You,1227,A Major
Saliva,Survival of the Sickest,1227,A Major
Air Supply,Come What May,1226,A Major
The Hooters,And We Danced,1226,A Major
Seether,Sold Me,1226,A Major
Stephen Sondheim,The Ballad of Sweeney Todd,1225,A Major
Mariah Carey,Can't Take That Away (Mariah's Theme),1224,A Major
Jorge Ben Jor,"Uala, ualala",1222,A Major
Paul Young,Oh Girl,1221,A Major
Def Leppard,Rocket,1221,A Major
Bethel Music,No Longer Slaves,1218,A Major
Alter Bridge,Down to My Last,1217,A Major
Deftones,You've Seen the Butcher,1214,A Major
Barry Manilow,As Sure as I'm Standing Here,1213,A Major
Christina Vidal,Take Me Away,1211,A Major
Gipsy Kings,Bamboleo,1211,A Major
Rob Zombie,Living Dead Girl,1211,A Major
Maren Morris,80's Mercedes,1210,A Major
Surface,Shower Me With Your Love,1209,A Major
Tom Petty and the Heartbreakers,Refugee,1208,A Major
Bee Gees,Wind of Change,1206,A Major
Boy & Bear,Golden Jubilee,1206,A Major
Message to Bears,Find Our Way Home,1204,A Major
Gym Class Heroes,Stereo Hearts,1204,A Major
Backstreet Boys,The Answer to Our Life,1204,A Major
Bruce Springsteen,Atlantic City,1202,A Major
Trace Adkins,Til The Last Shot's Fired,1201,A Major
Jimmy Eat World,Bleed America,1199,A Major
The Countdown Singers,Show Me the Meaning of Being Lonely,1198,A Major
The Gaslight Anthem,Howl,1198,A Major
Evanescence,My Last Breath,1198,A Major
Bill Conti,Rocky (Gonna Fly Now),1197,A Major
Alter Bridge,Addicted to Pain,1196,A Major
Backstreet Boys,Madeleine,1196,A Major
Godsmack,Moon Baby,1196,A Major
Mariah Carey,Last Night a DJ Saved My Life,1193,A Major
Airbourne,Stand Up for Rock 'n' Roll,1190,A Major
Silverchair,If You Keep Losing Sleep,1189,A Major
Dwight Yoakam,Fast as You,1188,A Major
Gipsy Kings,Montaña,1182,A Major
Bee Gees,Run to Me,1178,A Major
The Allman Brothers Band,Jessica (live),1178,A Major
Lady Gaga,"Retro, Dance, Freak",1176,A Major
Elvis Presley,Love Me Tender,1175,A Major
Imogen Heap,Hide and Seek,1174,A Major
King Krule,Bleak Bake,1172,A Major
Theory of a Deadman,Bitch Came Back,1171,A Major
Bob Dylan,You're a Big Girl Now,1169,A Major
Backstreet Boys,PDA,1167,A Major
